cos_theta,theta_deg,count_to_49,count_to_50,total
1.000000000000,0.000000,1,0,1
0.989949493661,8.130102,0,4,4
0.857142857143,31.002719,8,0,8
0.707106781187,45.000000,0,12,12
0.565685424949,55.550098,0,8,8
0.428571428571,64.623066,8,0,8
0.424264068712,64.895910,0,8,8
0.285714285714,73.398450,8,0,8
0.141421356237,81.869898,0,4,4
0.000000000000,90.000000,4,12,16
-0.141421356237,98.130102,0,4,4
-0.285714285714,106.601550,8,0,8
-0.424264068712,115.104090,0,8,8
-0.428571428571,115.376934,8,0,8
-0.565685424949,124.449902,0,8,8
-0.707106781187,135.000000,0,12,12
-0.857142857143,148.997281,8,0,8
-0.989949493661,171.869898,0,4,4
