cos_theta,theta_deg,count_to_49,count_to_50,total
1.000000000000,0.000000,0,1,1
0.989949493661,8.130102,1,0,1
0.980000000000,11.478341,0,2,2
0.960000000000,16.260205,0,1,1
0.909137290097,24.613598,2,0,2
0.888934239206,27.260372,2,0,2
0.808122035642,36.087147,2,0,2
0.800000000000,36.869898,0,1,1
0.787918984751,38.008540,2,0,2
0.780000000000,38.739425,0,2,2
0.760000000000,40.535802,0,2,2
0.700000000000,45.572996,0,2,2
0.660000000000,48.700127,0,2,2
0.640000000000,50.208181,0,2,2
0.620000000000,51.683866,0,4,4
0.600000000000,53.130102,0,1,1
0.545482374058,56.942366,2,0,2
0.520000000000,58.667749,0,2,2
0.500000000000,60.000000,0,4,4
0.464670170494,62.311122,2,0,2
0.460000000000,62.612892,0,2,2
0.404061017821,66.167701,2,0,2
0.383857966930,67.427140,2,0,2
0.343451865148,69.912680,2,0,2
0.340000000000,70.123126,0,2,2
0.320000000000,71.337075,0,2,2
0.303045763366,72.359369,2,0,2
0.280000000000,73.739795,0,1,1
0.222233559801,77.159745,2,0,2
0.161624407128,80.698805,2,0,2
0.141421356237,81.869898,1,0,1
0.140000000000,81.952154,0,4,4
0.100000000000,84.260830,0,2,2
0.020000000000,88.854008,0,2,2
0.000000000000,90.000000,2,2,4
-0.020000000000,91.145992,0,2,2
-0.100000000000,95.739170,0,2,2
-0.140000000000,98.047846,0,4,4
-0.141421356237,98.130102,1,0,1
-0.161624407128,99.301195,2,0,2
-0.222233559801,102.840255,2,0,2
-0.280000000000,106.260205,0,1,1
-0.303045763366,107.640631,2,0,2
-0.320000000000,108.662925,0,2,2
-0.340000000000,109.876874,0,2,2
-0.343451865148,110.087320,2,0,2
-0.383857966930,112.572860,2,0,2
-0.404061017821,113.832299,2,0,2
-0.460000000000,117.387108,0,2,2
-0.464670170494,117.688878,2,0,2
-0.500000000000,120.000000,0,4,4
-0.520000000000,121.332251,0,2,2
-0.545482374058,123.057634,2,0,2
-0.600000000000,126.869898,0,1,1
-0.620000000000,128.316134,0,4,4
-0.640000000000,129.791819,0,2,2
-0.660000000000,131.299873,0,2,2
-0.700000000000,134.427004,0,2,2
-0.760000000000,139.464198,0,2,2
-0.780000000000,141.260575,0,2,2
-0.787918984751,141.991460,2,0,2
-0.800000000000,143.130102,0,1,1
-0.808122035642,143.912853,2,0,2
-0.888934239206,152.739628,2,0,2
-0.909137290097,155.386402,2,0,2
-0.960000000000,163.739795,0,1,1
-0.980000000000,168.521659,0,2,2
-0.989949493661,171.869898,1,0,1
