cos_theta,theta_deg,count_to_49,count_to_50,total
1.000000000000,0.000000,0,1,1
0.980000000000,11.478341,0,2,2
0.969746442770,14.129503,1,0,1
0.949543391879,18.278471,1,0,1
0.940000000000,19.948444,0,2,2
0.920000000000,23.073918,0,1,1
0.909137290097,24.613598,1,0,1
0.900000000000,25.841933,0,1,1
0.868731188315,29.688471,1,0,1
0.828325086533,34.072934,1,0,1
0.808122035642,36.087147,1,0,1
0.800000000000,36.869898,0,1,1
0.780000000000,38.739425,0,1,1
0.760000000000,40.535802,0,1,1
0.727309832078,43.338661,1,0,1
0.707106781187,45.000000,1,0,1
0.700000000000,45.572996,0,1,1
0.666700679404,48.187070,1,0,1
0.660000000000,48.700127,0,1,1
0.640000000000,50.208181,0,2,2
0.626294577622,51.222731,1,0,1
0.620000000000,51.683866,0,3,3
0.585888475840,54.134218,1,0,1
0.565685424949,55.550098,1,0,1
0.520000000000,58.667749,0,1,1
0.505076272276,59.663584,2,0,2
0.500000000000,60.000000,0,4,4
0.484873221385,60.995833,1,0,1
0.464670170494,62.311122,1,0,1
0.460000000000,62.612892,0,3,3
0.424264068712,64.895910,1,0,1
0.404061017821,66.167701,1,0,1
0.360000000000,68.899804,0,1,1
0.340000000000,70.123126,0,3,3
0.323248814257,71.140486,1,0,1
0.320000000000,71.337075,0,3,3
0.303045763366,72.359369,1,0,1
0.280000000000,73.739795,0,1,1
0.262639661584,74.773252,1,0,1
0.242436610693,75.969604,1,0,1
0.222233559801,77.159745,1,0,1
0.200000000000,78.463041,0,1,1
0.180000000000,79.630240,0,2,2
0.140000000000,81.952154,0,2,2
0.101015254455,84.202364,2,0,2
0.100000000000,84.260830,0,2,2
0.080812203564,85.364747,1,0,1
0.060609152673,86.525222,1,0,1
0.020000000000,88.854008,0,1,1
0.000000000000,90.000000,0,2,2
-0.020000000000,91.145992,0,1,1
-0.060609152673,93.474778,1,0,1
-0.080812203564,94.635253,1,0,1
-0.100000000000,95.739170,0,2,2
-0.101015254455,95.797636,2,0,2
-0.140000000000,98.047846,0,2,2
-0.180000000000,100.369760,0,2,2
-0.200000000000,101.536959,0,1,1
-0.222233559801,102.840255,1,0,1
-0.242436610693,104.030396,1,0,1
-0.262639661584,105.226748,1,0,1
-0.280000000000,106.260205,0,1,1
-0.303045763366,107.640631,1,0,1
-0.320000000000,108.662925,0,3,3
-0.323248814257,108.859514,1,0,1
-0.340000000000,109.876874,0,3,3
-0.360000000000,111.100196,0,1,1
-0.404061017821,113.832299,1,0,1
-0.424264068712,115.104090,1,0,1
-0.460000000000,117.387108,0,3,3
-0.464670170494,117.688878,1,0,1
-0.484873221385,119.004167,1,0,1
-0.500000000000,120.000000,0,4,4
-0.505076272276,120.336416,2,0,2
-0.520000000000,121.332251,0,1,1
-0.565685424949,124.449902,1,0,1
-0.585888475840,125.865782,1,0,1
-0.620000000000,128.316134,0,3,3
-0.626294577622,128.777269,1,0,1
-0.640000000000,129.791819,0,2,2
-0.660000000000,131.299873,0,1,1
-0.666700679404,131.812930,1,0,1
-0.700000000000,134.427004,0,1,1
-0.707106781187,135.000000,1,0,1
-0.727309832078,136.661339,1,0,1
-0.760000000000,139.464198,0,1,1
-0.780000000000,141.260575,0,1,1
-0.800000000000,143.130102,0,1,1
-0.808122035642,143.912853,1,0,1
-0.828325086533,145.927066,1,0,1
-0.868731188315,150.311529,1,0,1
-0.900000000000,154.158067,0,1,1
-0.909137290097,155.386402,1,0,1
-0.920000000000,156.926082,0,1,1
-0.940000000000,160.051556,0,2,2
-0.949543391879,161.721529,1,0,1
-0.969746442770,165.870497,1,0,1
-0.980000000000,168.521659,0,2,2
